Input,Output
"-This is not your ordinary dull telephone book
-PlanAhead proudly introduces a playful take on classic telephone and address book
-The book contains 628 entries for contacts and tabbed pages
-It is metal wiro bound with a clear frosted poly cover
-The customer will receive one planner in one of the assorted colors, which is random and cannot be chosen at this time.","The  PlanAhead 628-entry Telephone and Address Book is a playful take on the classic telephone book. It is metal wiro bound with a clear frosted poly cover and contains 628 entries for contacts and tabbed pages. The customer will receive one planner in one of the assorted colors, which is random and cannot be chosen at this time. This is not your ordinary dull telephone book!"
"-Keep important addresses organized and easily accessible with no messy cross outs
-Comes with 50 replacement stickers easy cover outdated addresses making it easy to keep your book legible
-Softcover book, 94 pages with alpha labels are 5"" by 8-1/2"", spiral-bound to lay flat on desk
-We print our organizers here in the USA with high quality, thick paper stock to ensure no tearing","With  the Juvale Address Book, keep important addresses organized and easily accessible with no messy cross outs. This book comes with 50 replacement stickers easy cover outdated addresses making it easy to keep your book legible. The softcover book is 94 pages with alpha labels that are 5"" by 8-1/2"". It is spiral-bound to lay flat on desk. 

We print our organizers here in the USA with high quality, thick paper stock to ensure no tearing. Keep your address book up to date and looking good as new with the Juvale Address Book!"
"
-This elegant address book stores all your emergency contacts, phone numbers, addresses, passwords, anniversaries, and birthdays in one place
-The alphabetical tabs design helps you organize your addresses in alphabetical order
-The address book is made of thick 120gsm non-bleed paper
-There are 3 entries per page, more than 300 entries for your phone numbers and addresses
-The address book has a PU leather hardcover, a pen loop, a ribbon bookmark, and an elastic band to keep the book closed when not in use
-The address book is the perfect gift for your friends and family","Get  organized and stay organized with this elegant address book. The alphabetical tabs design helps you organize your addresses in alphabetical order, making it easy to find what you're looking for. The address book is made of thick 120gsm non-bleed paper, so you can write in it without worrying about ink bleed-through. There are 3 entries per page, more than 300 entries for your phone numbers and addresses. 

The address book has a PU leather hardcover, a pen loop, a ribbon bookmark, and an elastic band to keep the book closed when not in use. It's the perfect gift for your friends and family."
"
-The fidget pen is a pen with multiple buttons and knobs that can be used for writing or fidgeting
-The pen is made of durable, lightweight materials and is easy to play with
-The pen is perfect for people with ADHD or who are looking for relief from stress
-The pen writes smoothly and comes with 10 refills
-The pen is available in four colors: pink, blue, gray, and black","With  the fidget pen, you can have your pen and fidget with it too! The pen is made of durable, lightweight materials and is easy to play with. It's perfect for people with ADHD or who are looking for relief from stress. The pen writes smoothly and comes with 10 refills. It's available in four colors: pink, blue, gray, and black."
"-Fidget Slug Toy is a cute stress relief toy that can effectively relieve stress
-The 3D articulated stim toy is designed with multiple hemispherical parts connected together
-Sensory slug toys not only relieve stress, but also develop hand strength and flexibility
-Slug decompression toys are made of high-quality non-toxic, odorless, hypoallergenic PP plastic, with smooth surface and no burrs
-The joint slug toy cute appearance is perfect as a gift for Thanksgiving, Easter, Christmas, and birthday parties!","This  Fidget Slug Toy is a cute and effective way to relieve stress. The 3D articulated stim toy is designed with multiple hemispherical parts connected together. Sensory slug toys not only relieve stress, but also develop hand strength and flexibility. 

Slug decompression toys are made of high-quality non-toxic, odorless, hypoallergenic PP plastic, with smooth surface and no burrs. The joint slug toy cute appearance is perfect as a gift for Thanksgiving, Easter, Christmas, and birthday parties!"
"-The A5 small address book offers ample space for 12 contacts per letter w/ lines for address, phone numbers, email & notes!
-Extra pages include personal information, a perpetual calendar, data & notes
-Change Of Address? No worries, just put a sticker over it: If you need to make any changes, simply use the included stickers to create a fresh address field - no striking through outdated data.
-Always Quick At Hand & Easy To Use: The durable phone book makes it a breeze to access & use information quickly!
-Beautiful Lush Design & Clever Back Pocket: A lovely greenery look, golden edges & spiral bound design, a green elastic band and a back pocket for extra space, turn the minimalistic address book into a functional tool with style","Get  organized and stylish with this A5 small address book from Antner. Ample space is offered for 12 contacts per letter, with lines for address, phone numbers, email, and notes. Extra pages include personal information, a perpetual calendar, data, and notes. If you need to make any changes, simply use the included stickers to create a fresh address field - no striking through outdated data. 

The durable phone book is always quick at hand and easy to use, with a beautiful lush design, golden edges, and spiral bound design. A green elastic band and back pocket are included for extra space. Get your life together in style with this Antner address book!"
"
-The CanPlan Mental Health Planner is a sleek, pink binder that is modern, beautiful, and customizable
-It is the best self care gift for women and the best mental health gift for yourself or a loved one
-The planner helps you to prioritize your mental and emotional health goals while keeping tabs on your progress in an organized and enjoyable way
-It is your own therapeutic, self-help, motivational, personal development, accountability guide and life planner
-The planner contains 100 pages of UNDATED daily trackers, 12 pages of UNDATED monthly calendars with customizable symptom & habit tracking, 12 End of the Month & 12 Beginning of the Month Reviews, 7 pages of Helpful Resources, 5 pages of a Self Care Toolkit, 16 pages of Therapy Reflections, 15 pages of our Overcoming Fears Tracker, 11 Pages of our Trigger Tracker, 7 pages of the Knowing Yourself Better Questionnaire, 7 pages of interactive Positivity Exercises, and 11 blank pages for notes and journaling
-There are three (3) bookmarks included to help you easily and comfortably find the pages you need throughout the planner
-You can customize your binder by adding or removing the pages you find most helpful","The  CanPlan Mental Health Planner is the perfect way to keep tabs on your mental and emotional health goals. It is a sleek, pink binder that is modern, beautiful, and customizable. It is the best self care gift for women and the best mental health gift for yourself or a loved one. 

The planner helps you to prioritize your mental and emotional health goals while keeping tabs on your progress in an organized and enjoyable way. It is your own therapeutic, self-help, motivational, personal development, accountability guide and life planner. 

The planner contains 100 pages of UNDATED daily trackers, 12 pages of UNDATED monthly calendars with customizable symptom & habit tracking, 12 End of the Month & 12 Beginning of the Month Reviews, 7 pages of Helpful Resources, 5 pages of a Self Care Toolkit, 16 pages of Therapy Reflections, 15 pages of our Overcoming Fears Tracker, 11 Pages of our Trigger Tracker, 7 pages of the Knowing Yourself Better Questionnaire, 7 pages of interactive Positivity Exercises, and 11 blank pages for notes and journaling. There are three (3) bookmarks included to help you easily and comfortably find the pages you need throughout the planner. 

You can customize your binder by adding or removing the pages you find most helpful. This is the perfect way to prioritize your mental and emotional health!"
"
-The Wilkii adult ADHD planner is designed to help you boost personal and professional productivity
-The planner includes a proven 13-week system that helps to avoid burnout by planning daily outlines, including downtime
-The planner also includes nightly mindfulness exercises to practice positive thinking and to identify personal strengths
-The ADHD planner features a simple daily and weekly scoring system for you to reflect on your progress and identify productivity patterns
-TheWilkii Planner is also super beneficial for individuals with executive function disorder","With  the Wilkii adult ADHD planner, you can boost your personal and professional productivity with ease. The planner includes a proven 13-week system that helps to avoid burnout by planning daily outlines, including downtime. The planner also includes nightly mindfulness exercises to practice positive thinking and to identify personal strengths. 

The ADHD planner features a simple daily and weekly scoring system for you to reflect on your progress and identify productivity patterns. The Wilkii Planner is also super beneficial for individuals with executive function disorder. Get your planner today and start achieving your goals!"
"-Fidget Slug Toy is a cute stress relief toy that can effectively relieve stress
-Trengthen Hand Exercise - Sensory slug toys not only relieve stress, but also develop hand strength and flexibility
-Easy To Play - The 3D articulated stim toy is designed with multiple hemispherical parts connected together
-Fun Fidget Toy Gifts - Slug Toys for all ages
-100% Safe Sensory Toy - Slug decompression toys are made of high-quality non-toxic, odorless, hypoallergenic PP plastic","Get  the Trengthen Hand Exercise - Sensory slug toys not only relieve stress, but also develop hand strength and flexibility. The 3D articulated stim toy is designed with multiple hemispherical parts connected together. Slug Toys for all ages are made of high-quality non-toxic, odorless, hypoallergenic PP plastic."
"-Playing with STEM LEARNING toys in early childhood is important for many reasons
-It helps young children to explore and understand the world around them
-It allows them to express their thinking or creativity
-Children with these skills are better able to answer complex questions, investigate issues, and develop solutions for real-world problems
-ADHD / AUTISM TOOL - Helps parents better understand their children's feelings
-18 DIFFERENT EMOJI MOOD TABS - Angry, bored, confident, confused, embarrassed, excited, frustrated, grumpy, happy, hungry, impatient, sad, scared, shy, sick, tired, ungrateful and worried
-SOCIAL SKILLS DEVELOPMENT - This book is designed to improve childrens social skills by role-playing with parents, siblings or other caregivers
-LARGE EASY TO READ LAMINATED PAGES - Measures 8"" x 8"" with built-in stand, Hardcover to protect inner tab pages
-I  KNOW WHAT TO DO WHEN I'M FEELING flipbook is a tool for parents, caregivers,  teachers, therapists & children
-For all children, including those with  Asperger Syndrome and other Autism Spectrum Disorders
-This flipbook will help children identify and respond appropriately to their emotions
-It is fully interactive and provides dry-erase compatibility so that unique situations and solutions can be added for each emotion
-A must-have for parents, teachers,  caregivers, and others who are helping children navigate successfully through the minefield of emotional well-being
-The My Feelings board game is a fun way for children with ASD to explore their own emotions and acquire a range of constructive ways of expressing feelings
-The game is appealing to children in terms of the quality of graphics, as well as the structure, activities, and pace
-While created for individuals with autism spectrum disorder, this innovative game is appropriate for all children!","Get  the My Feelings board game to help your child with ASD explore their emotions and learn constructive ways of expressing feelings. This game is appealing to children in terms of the quality of graphics, as well as the structure, activities, and pace. It is fully interactive and provides dry-erase compatibility so that unique situations and solutions can be added for each emotion."
"-This to do list notepad helps you set your intentions each day
-You can use it to express gratitude, plan your most important tasks, and set yourself up for success
-The daily to do list notepad is quick and easy to use, and it helps you stay focused so you can get ahead
-This daily planner pad helps to vanquish your stressors and documents what you eat, water intake, and mood each day
-The desk notepad is a simple yet powerful tool that helps you track your progress and reach your targets
-With this todo list notepad, you can easily plan out your schedule and make the most of your 24 hours","This  daily to do list notepad is a simple yet powerful tool that helps you stay focused and get ahead. You can use it to express gratitude, plan your most important tasks, and set yourself up for success. The desk notepad is quick and easy to use, and it helps you track your progress and reach your targets. 

With this todo list notepad, you can easily plan out your schedule and make the most of your 24 hours. It's the perfect way to vanquish your stressors and document what you eat, water intake, and mood each day. Get ahead with this daily planner pad!"
"
-This ADHD planner for adults was crafted by an entrepreneur with firsthand experience of the condition
-The planner features include weekly brain dumps for purging thoughts and also personal routine and ritual zones
-The planner has a dedicated space for setting goals and reflecting on progress
-The exercises within this book are each designed to make use of ADHD tendencies, rather than challenge them","With  this ADHD planner for adults, you'll be able to stay organized and on track with your goals. It was crafted by an entrepreneur with firsthand experience of the condition, so you can be sure that it understands your needs. The planner features include weekly brain dumps for purging thoughts and also personal routine and ritual zones. The dedicated space for setting goals and reflecting on progress is especially helpful. 

The exercises within this book are each designed to make use of ADHD tendencies, rather than challenge them. This makes it easier for you to stay on track and get things done. Get the planner that works for you!"
"-Added a multiplication table of 1-9 in 100 bubbles, allowing children to learn multiplication formulas while playing
-When you press the bubbles, there will be a slight popping sound, which will make people feel comfortable and have an effect to relieve stress
-Made of high quality silicone material, comfortable, durable and soft Washable
-It is water-proof as well, so you can freely wash it when it is dirty
-A total of 100 bubbles, the size is 7.87*7.87*0.63in (20*20*1.6cm)
-It makes a fun gift for birthday parties, rewards, educational tools, and more
-It can improve children's mathematical multiplication ability while allowing children to play happily","With  the Antner 100-bubble multiplication table, children can learn multiplication formulas while playing. Made of high quality silicone material, it is comfortable, durable, and soft. It is also water-proof, so you can wash it when it is dirty. The size is 7.87*7.87*0.63in (20*20*1.6cm). 

This makes a fun gift for birthday parties, rewards, educational tools, and more. It can improve children's mathematical multiplication ability while allowing children to play happily."
"-The Stainless Steel Split Rings and Chain Links will Never Corrode Or Break
-These Six Chain Links With Rolling Silicone Bands Are Perfect For Hours of Silent Fidgeting
-These Interlocking Chain Links Are Perfect For Hours and Hours of Fidgeting In Creative Ways
-Color-Black
-Material-Silicone
-Brand-CsyncDirect
-Item Dimensions LxWxH-2 x 1.5 x 0.3 inches","This  CsyncDirect 6-pack of chain links with rolling silicone bands are perfect for hours of silent fidgeting. Made of stainless steel, they will never corrode or break. The interlocking chain links are perfect for hours and hours of fidgeting in creative ways. With a black color, they are sure to match any outfit. The dimensions of the chain links are 2 x 1.5 x 0.3 inches."
"-AUTISM LEARNING MATERIALS: Our reading tracker helps students with dyslexia tackle complex words and text with a hands-on highlighted strips for reading right on their finger.
-KINDERGARTEN CLASSROOM MUST HAVES: Early reading can be stressful, and our cute colorful finger pointers for kids reading can help make reading fun and easier to manage. These reading strips are the perfect montessori materials for your home, classroom must haves, school supplies, and special education classroom.
-DYSLEXIA TOOLS: Reading highlighter strips for children were designed to make reading as simple as possible for kids and adults who suffer from dyslexia and it's symptoms. The different colored overlays reduce visual stress and tiredness, which improve the reader's concentration.
-ADHD TOOLS: Helps young ones who have a tough time with ADHD focus on reading from one word to another. Reading tools make reading kids book faster and more comfortable.
-COLOR-CODED READING TOOL: The yellow, blue, purple, and clear color strips assist children with dyslexia, autism, or learning how to read. The FingerFocus reading helpers for kids are the perfect reading aid for homework and schoolwork. Age: 4-11, grades 1-8.","The  FingerFocus 6-pack of reading strips were designed to make reading as simple as possible for kids and adults who suffer from dyslexia and it's symptoms. The different colored overlays reduce visual stress and tiredness, which improve the reader's concentration. 

These reading tracker strips help students with dyslexia tackle complex words and text with a hands-on highlighted strips for reading right on their finger. The yellow, blue, purple, and clear color strips assist children with dyslexia, autism, or learning how to read. The FingerFocus reading helpers for kids are the perfect reading aid for homework and schoolwork. 

Early reading can be stressful, and our cute colorful finger pointers for kids reading can help make reading fun and easier to manage. These reading strips are the perfect montessori materials for your home, classroom must haves, school supplies, and special education classroom."
"-This Searon Visual Timer provides an Intuitive visual way that how much timer is left, it is perfect for both teachers and students
-Eeay to Use: Using the timer is simple and intuitive: Move the COLOR disk into position using the center knob. As time expires, the COLOR disk disappears moving in a counter-clockwise direction
-No Loud Ticking: Unlike any other wind-up clock ticked busily, This Searon Visual Timer is powered through 2x AAA batteries, whick will keep silent during counting down
-Wide Application: With its fun colors and desktop size, The Searon Visual Timer is perfect for teachers and students, students of all ages, cooking, autism or adhd
-Alarm Switch: Loud/Low sound optional alert: ideal for sound-sensitive environments. Alarm sounds for 3 seconds/60 seconds (optional)
-2 Years Warranty: Searon warrants that for a period of 2 YEARS from time of purchase. within 2 years, any issue with this kids visual timer, it will be full refund without return, as long as you contact us timely","Get  the Searon Visual Timer and make life easier! This visual timer provides an Intuitive visual way that how much timer is left, it is perfect for both teachers and students. Eeay to Use: Using the timer is simple and intuitive: Move the COLOR disk into position using the center knob. As time expires, the COLOR disk disappears moving in a counter-clockwise direction. No Loud Ticking: Unlike any other wind-up clock ticked busily, This Searon Visual Timer is powered through 2x AAA batteries, whick will keep silent during counting down. 

Wide Application: With its fun colors and desktop size, The Searon Visual Timer is perfect for teachers and students, students of all ages, cooking, autism or adhd. Alarm Switch: Loud/Low sound optional alert: ideal for sound-sensitive environments. Alarm sounds for 3 seconds/60 seconds (optional). 2 Years Warranty: Searon warrants that for a period of 2 YEARS from time of purchase. within 2 years, any issue with this kids visual timer, it will be full refund without return, as long as you contact us timely."
"-A NEW PREMIUM FIDGET TOY: Cool fidget spinner that will make you want to spin it for eternity. Sensory fidget toy that is playable with one hand, allowing you to be free to do other things while playing
-THE NEW EVOLUTION OF THE FIDGET SPINNERS: An extremely fun toy. The YOGI package comes with 5 different sizes that you can switch whenever you want, play with different fingers or give to a friend or family member to try it out
-RELIEVE STRESS AND ANXIETY: Fidget toys help children with sensory issues. Great for ADD, ADHD and Autism. Helps to quickly calm you down
-PERFECT FOR KIDS AND ADULTS: can be played while doing other activities like listening in class, reading, writing, working, participating in sports activities and more
-HIGH QUALITY PRODUCT: Strong ABS plastic body with a smooth silicone bearing cover and ring sizes","The  Yogi Fidget Spinner is the new evolution of the fidget spinner. It is an extremely fun toy that comes with 5 different sizes that you can switch whenever you want. It is perfect for kids and adults alike as it can be played while doing other activities like listening in class, reading, writing, working, participating in sports activities and more. 

The fidget spinner helps children with sensory issues and is great for ADD, ADHD and Autism. It quickly calms you down and relieves stress and anxiety. The Yogi Fidget Spinner is made of high quality materials with a strong ABS plastic body and a smooth silicone bearing cover. It is a great toy for kids and adults!"
"
-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA
-Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience","With  the Krisp 100-Page Storyboard Notebook, you'll have everything you need to layout your next great story. This exclusive notebook comes with a variety of the most popular blank storyboard layouts to keep you and your readers engaged. The chlorine-free ink and acid-free interior paper preserves artwork and colors for much longer, while the durable glossy cover protects your creations and keeps your notebook clean. 

Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience. Get your storyboard notebook today and let your imagination run wild!"
"-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA
-DIMENSIONS 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience","Get  creative with the Krisp 100-Page Blank Storyboard Notebook! This unique notebook features a variety of the most popular blank storyboard layouts to keep you and your readers engaged. The chlorine-free ink and acid-free interior paper preserves artwork and colors for much longer, while the durable glossy cover protects your creations and keeps your notebook clean. 

The Krisp 100-Page Blank Storyboard Notebook is an exclusive item, designed in New York, NY, USA. It measures 8.5""x 11"" and is designed for convenience with Adults and Kids in mind. Get yours today and start being creative!"
"-ADD YOUR NAME, ART & CHARACTERS - customize the cover with Author's name, characters, drawings, stickers and your favorite colors! Show Your unique style without limits!
-DIVERSE LAYOUTS - discover a great variety of the most popular blank storyboard templates to keep you and your readers engaged. Never get bored while creating and reading your own comic books!
-ACID-FREE PAPER & CHLORINE-FREE INK - Eco-friendly technology that will help to preserve the artwork and colors for much longer.
-DURABLE YELLOW CANVAS MATTE FINISH COVER - add your own artwork or leave as is - only legal markings remain and were designed to be easily hidden with a permanent marker if necessary.
-HIGH-QUALITY 90 GSM CLASSIC CREAM PAPER - strong professional binding with premium look and comfortable texture.","This  customizable comic book is perfect for kids and adults who love to express their creativity! With a durable yellow canvas matte finish cover and high-quality 90 GSM classic cream paper, this comic book is built to last. You can add your own artwork or characters to the cover, or leave it as is. There are also a variety of blank storyboard templates to keep you and your readers engaged. Never get bored while creating and reading your own comic books!"
"-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA
-Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience","This  Krisp exclusive storyboard notebook is perfect for artists of all levels. With 100 pages of diverse blank layouts, you can keep your readers engaged with your creativity. The chlorine-free ink and acid-free interior paper preserve your artwork and colors for much longer, while the durable glossy cover protects your creations and keeps your notebook clean. 

Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience. Get yours today and start creating!"
"-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA
-Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience","With  the Krisp 100-page blank storyboard notebook, you will have a variety of the most popular blank storyboard layouts at your fingertips. The chlorine-free ink and acid-free interior paper preserves artwork and colors for much longer. The durable glossy cover protects your creations and keeps your notebook clean. This is a Krisp exclusive item, designed in New York, NY, USA. The dimensions are 100 pages - 8.5""x 11"" in - 21.59 x 27.94 cm. This notebook is designed for convenience with Adults and Kids in mind - for every artistic level and experience."
"-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged.
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer.
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean.
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA.
-Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience.","Get  your creativity flowing with the Krisp Layout Blank Rectangles Notebook! This unique notebook features a variety of the most popular blank storyboard layouts to keep you and your readers engaged. The chlorine-free ink and acid-free interior paper preserve artwork and colors for much longer, while the durable glossy cover protects your creations and keeps your notebook clean. 

This Krisp exclusive item is designed in New York, NY, USA and comes in dimensions of 100 pages - 8.5""x 11"" in - 21.59 x 27.94 cm. It is designed for convenience with Adults and Kids in mind - for every artistic level and experience. Get your creative juices flowing today with the Krisp Layout Blank Rectangles Notebook!"
"-DIVERSE LAYOUT BLANK RECTANGLES - a variety of the most popular blank storyboard layouts to keep you and your readers engaged
-CHLORINE-FREE INK AND ACID-FREE INTERIOR PAPER - preserves artwork and colors for much longer
-DURABLE GLOSSY COVER - protects your creations and keeps your notebook clean
-UNIQUE DESIGN - Krisp exclusive item. Designed in New York, NY, USA
-Dimensions 100 Pages - 8.5""x 11"" in - 21.59 x 27.94 cm - designed for convenience with Adults and Kids in mind - for every artistic level and experience","This  exclusive Krisp notebook features 100 pages of diverse blank storyboard layouts, perfect for keeping you and your readers engaged. The chlorine-free ink and acid-free interior paper preserves artwork and colors for much longer, while the durable glossy cover protects your creations and keeps your notebook clean. 

Dimensions: 8.5""x 11"" in - 21.59 x 27.94 cm. This notebook is designed for convenience with Adults and Kids in mind - for every artistic level and experience."
"- Contains 20 pages (10 sheets), every sheet with two holes
- High quality craft paper for scrapbooking
- Size: 11.46"" x 7.3"", can hold all popular size photos including 2.5""x3.5"" wallet, 4""x6"", 5""x7"", 6""x8"" enlargements and more
- Photo Safe: Acid, lignin and PVC free","This  scrapbook is perfect for preserving your precious memories! It contains 20 pages (10 sheets) of high quality craft paper, and can hold all popular size photos including 2.5""x3.5"" wallet, 4""x6"", 5""x7"", 6""x8"" enlargements and more. The scrapbook is also photo safe, acid, lignin and PVC free. 

So don't wait, order your scrapbook today and start preserving your memories for years to come!"
"-It is a perfect a gift choice for friends, family, classmates, teacher, studebt and coworkers! Ideal for all office, school and home uses, as a diary or journal for brainstorming ideas, creative writing or just doodling and drawing to your hearts content.
-CONVENIENT SIZE: spiral bound HARDCOVER JOURNAL, the size of this journal is 6""X 8"" , which is a perfect size for carrying, easily fits in purses, backpacks, and travel bags.
-QUALITY MATERIALS: Notebook includes 160 pages (80 sheets) of durable, 70 lb. Notebooks are perfect for storing favorite recipes, passing down family secrets, or taking quick recipe notes on the go.","The  Antner spiral bound HARDCOVER JOURNAL is the perfect gift choice for friends, family, classmates, teacher, studebt and coworkers! Ideal for all office, school and home uses, as a diary or journal for brainstorming ideas, creative writing or just doodling and drawing to your hearts content. 

This notebook includes 160 pages (80 sheets) of durable, 70 lb. paper. The convenient size of this journal is 6""X 8"", which is a perfect size for carrying, easily fits in purses, backpacks, and travel bags. Notebooks are perfect for storing favorite recipes, passing down family secrets, or taking quick recipe notes on the go."
"
-90 pages (45 sheets) of blank kraft brown paper, 80lb acid-free paper milled responsibly in Wisconsin, using recycled products
-FSC Certified
-Flat-Lay softcover make it easy to write lists, stick photos and maps
-Embossed with real rose gold foil on a vintage 1940 Heidelberg letterpress in Los Angeles
-Ideal gift for couple, gift for parents and family
-Make lists of all the adventures you've had and bucket lists of where you want to go
-Create your own tabs and inserts of types of adventures, past and future, dreams you have and adventures you want
-Brand-Modern Notebooks
-Color-Black, Rose Gold
-Material-Rose gold foil, matte black softcover
-Item Dimensions LxWxH-7.5 x 0.5 x 9.25 inches
-Size-9.25"" x 7.5""","With  this Modern Notebooks journal, you can make lists of all the adventures you've had and bucket lists of where you want to go. The journal has 90 pages (45 sheets) of blank kraft brown paper, 80lb acid-free paper milled responsibly in Wisconsin, using recycled products. It is FSC Certified and flat-lay softcover make it easy to write lists, stick photos and maps. 

The journal is embossed with real rose gold foil on a vintage 1940 Heidelberg letterpress in Los Angeles. It makes an ideal gift for couple, gift for parents and family. You can create your own tabs and inserts of types of adventures, past and future, dreams you have and adventures you want. The journal is brand-new, black, rose gold color, with a rose gold foil, matte black softcover. The journal's dimensions are LxWxH-7.5 x 0.5 x 9.25 inches and it is size 9.25"" x 7.5""."
"-This book will store your special experience and collect wonderful moments in your lifetime that will be your treasured memory. 
-The cover of this adventures scrapbook is cut from quality basswood plywood in a perfect size, 11 x 8.5 inches. 
-Laser engraved with world map, balloon and compass on the cover. The unique wooden design and engraved patterns make your travel recording more vivid. 
-This travel journals book includes 80 pages (40 sheets). Made from 200GSM thickened Kraft paper material. You can record your unforgettable journey experience and attach your photos. 
-This wooden photo album book will be the best anniversary, wedding, birthday, Christmas, Valentine's Day gift for love, family or friends.","Get  this unique wooden Engraved World Map Travel Scrapbook to store your special experiences and collect wonderful moments in your lifetime that will be your treasured memory. The cover of this adventures scrapbook is cut from quality basswood plywood in a perfect size, 11 x 8.5 inches. 

Laser engraved with world map, balloon and compass on the cover, the unique wooden design and engraved patterns make your travel recording more vivid. This travel journals book includes 80 pages (40 sheets) made from 200GSM thickened Kraft paper material. You can record your unforgettable journey experience and attach your photos. 

This wooden photo album book will be the best anniversary, wedding, birthday, Christmas, Valentine's Day gift for love, family or friends."
"-Our Adventure Book is 11.8x7.7 inches and can DIY 80 pages/40 sheets
-The Adventure Book kit contains: Adventure Book Scrapbook x1, 8 color pen x1, self-adhesive photo angle x3, DIY sticker x6
-The book is made of thick kraft paper, very suitable for manual DIY
-The Best Gift: Scrapbook album is very suitable for family, friends and lover, can serve as an anniversary gift, Christmas present, Thanksgiving gift, birthday present
-Design Idea: Our adventure book is a page connected by exquisite ropes that you can freely add or reduce the page","Get  the perfect gift for the adventurer in your life with our Adventure Book. This 11.8x7.7 inch book can DIY 80 pages/40 sheets and contains a thick kraft paper that is perfect for manual DIY. The book is also connected by exquisite ropes that you can freely add or reduce the page. 

The Adventure Book kit contains: Adventure Book Scrapbook x1, 8 color pen x1, self-adhesive photo angle x3, DIY sticker x6. It makes for a great anniversary gift, Christmas present, Thanksgiving gift, birthday present, or just because!"
