Specs,Name,Features,Output 
"{'Color': 'Black/ Black', 'Brand': 'Home Source', 'Style': 'Contemporary'}",Home Source 3-Piece Bistro Set with Counter Height Black Faux Marble Table and 2 Textured Faux Leather Side Chairs (Black/Black),Table dimensions: 30x24x41H. Chair dimensions: 18x21x45H. Faux marble black brown and white table top with matching chairs with faux leather upholstery.,"The Home Source 3-Piece Bistro Set with Counter Height Black Faux Marble Table and 2 Textured Faux Leather Side Chairs is a stylish and contemporary set that will add a touch of elegance to your home. The black faux marble table top is complimented by the black and white textured faux leather upholstery of the chairs, making this set a perfect addition to any home."
"{'Product Dimensions': '30""D x 77.2""W x 32""H', 'Color': 'Beige', 'Material': 'Wood', 'Room Type': 'Living Room', 'Seating Capacity': '6', 'Brand': 'Merax', 'Shape': 'Square', 'Style': 'Modern', 'Frame Material': 'Wood'}","Merax 3 Pieces Living Room Sectional Sofa Set, Modern Style Button Tufted Arm Chair Loveseat Couch with Cushions, Beige","Contemporary StyleThis set features a contemporary look and a streamlined silhouette.  The brass nail head trip tastefully line the edges while the gilded patterned fabric offers a natural sheen featuring button tufted back cushions for a polished accent. Ultimate ComfortUpholstered with velvety soft linen blend fabric in a neutral hue for an inviting look, this set will provide you with unrivaled comfort.  High resilience sponge cushioning reinforced with thick inner springs will support your body when seated, and easily restore their shape.  Square arms provide ample space for you to lay out and relax and place your remote in immediate reach. Sturdy & FunctionalEnjoy your time to unwind after a long day with this set in your living room.  Expertly crafted with a solid wood frame for maximum support, this set is equipped with durability for years to come.  Deep seating space is designed for hosting extra guests, while the 3-seat sofa can also be used as a daybed for a nap. Compact StructureThe compact structure of this sofa set is suitable for a cozy living room while providing ample seating space.  Arrange the 3 pieces together or move the armchair to bedroom according to your needs and create a harmonious overall look. Easy Set Up & DimensionsSofa: 32H x 77. 2W x 30D.  Loveseat: 32H x 55. 1W x 30D.  Sofa Chair: 32H x 32. 7W x 30D.  Easy to assemble with clear instruction.  Note: This set comes in 3 boxes and may not be delivered at the same time.  Please wait patiently or contact the seller if you only receive part of them.","The Merax 3 Pieces Living Room Sectional Sofa Set is a modern and stylish addition to any home. The set includes a sofa, loveseat, and armchair, all upholstered in a soft beige linen blend fabric. The sofa and loveseat feature button tufted back cushions for a polished look, while the armchair has a streamlined silhouette. The set is perfect for relaxing in after a long day or hosting guests. With a solid wood frame, the set is durable and easy to assemble."
"{'Type': 'Sectional', 'Color': 'Black', 'Material': 'Leather', 'Room Type': 'Living Room', 'Brand': 'Furniture of Home', 'Shape': 'L-Shape'}",Furniture of Home 3 Piece Sectional Sofa with Right Chaise Lounge Chair/Ottoman with Hidden Storage,Stylish Faux Leather Sofa with Chaise Lounge Chair and Ottoman. Ottoman comes with hidden storage design to fit your different storage needs. Firm Foam Pillows included.,"The Furniture of Home 3 Piece Sectional Sofa with Right Chaise Lounge Chair/Ottoman with Hidden Storage is perfect for those who need a little extra storage space. The ottoman comes with a hidden storage design that is perfect for holding blankets, pillows, or other items. The sofa is upholstered in a stylish faux leather that is perfect for any room. The sofa also comes with firm foam pillows for added comfort."
"{'Color': 'Yellow', 'Brand': 'Iron Forge Cable', 'Voltage': '125 Volts', 'Input Current': '15 Amps', 'Plug Format': 'Type B'}","10 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety, 15 AMP - Great for Garden and Major Appliances","ALL PURPOSE EXTENSION CORD for Indoor and Outdoor use.  Great for gardening, landscaping, or powering any household appliance. WATER RESISTANT: Flexible vinyl covering protects cords against moisture, abrasion and sunlight. REINFORCED BLADES protect prongs from bending or breaking.  12 GAUGE HEAVY DUTY wire, 10 foot, 15 amp, 125 volt, 1875 watt, 5-15P/R, UL Listed.  Temperature Range:-40F to +140F. LIGHTED SOCKET - The female end of the cord lights up to indicate when the power is on.  SLIP RESISTANT DESIGN. LIFETIME REPLACEMENT WARRANTY Iron Forge Cable stands behind all of its products 100%.  If anything ever goes wrong with this, we will replace it with a new item.","The Iron Forge Cable 10 Foot Lighted Outdoor Extension Cord is the perfect all-purpose extension cord for indoor and outdoor use. With a durable vinyl covering, this cord is resistant to moisture, abrasion, and sunlight. The 12 gauge heavy duty wire can handle up to 15 amps, 125 volts, and 1875 watts. The lighted socket lets you know when the power is on, and the slip resistant design keeps the cord in place. Iron Forge Cable offers a lifetime replacement warranty, so you can be confident in your purchase."
"{'Brand': 'Instant Pot', 'Material': 'Stainless steel', 'Color': 'Stainless Steel/Black', 'Capacity': '3 Quarts', 'Item Dimensions LxWxH': '11.81 x 10.51 x 10.98 inches', 'Item Weight': '8.65 Pounds', 'Voltage': '120 Volts', 'Wattage': '700 watts', 'Control Method': 'Touch', 'Controller Type': 'Push Button'}","Instant Pot Duo 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, SautÃ©, Yogurt Maker, Warmer & Sterilizer, 3 Quart, Stainless Steel/Black","7-IN-1 FUNCTIONALITY: Pressure cook, slow cook, rice cooker, yogurt maker, steamer, saut pan and food warmer. QUICK ONE-TOUCH COOKING: 13 customizable Smart Programs for pressure cooking ribs, soups, beans, rice, poultry, yogurt, desserts and more. COOK FAST OR SLOW: Pressure cook delicious one-pot meals up to 70% faster than traditional cooking methods or slow cook your favorite traditional recipes just like grandma used to make. QUICK AND EASY CLEAN UP: Finger-print resistant, stainless-steel sides and dishwasher-safe lid, inner pot, and accessories. PROVEN SAFETY FEATURES: Includes over 10 safety features, plus overheat protection and safe-locking lid. PERFECT SIZE: Cook for up to 3 people perfect for smaller families, or meal prepping and batch cooking for singles. VERSATILE INNER COOKING POT: We use food-grade stainless-steel, a tri-ply bottom for more even cooking and perfect for sauting. DISCOVER AMAZING RECIPES: Download our free Instant Pot app (iOS and Android) so you can discover new favorites and prepare delicious meals.","The Instant Pot DUO 7-in-1 Electric Pressure Cooker is a versatile and convenient kitchen appliance that can be used to pressure cook, slow cook, rice cook, yogurt maker, steamer, saut pan and food warmer. With 13 Smart Programs, it is quick and easy to cook delicious one-pot meals up to 70% faster than traditional cooking methods or slow cook your favorite traditional recipes just like grandma used to make. The Instant Pot DUO 7-in-1 Electric Pressure Cooker is perfect for smaller families or meal prepping and batch cooking for singles. The Instant Pot DUO 7-in-1 Electric Pressure Cooker comes with a finger-print resistant, stainless-steel sides and dishwasher-safe lid, inner pot, and accessories. It also includes over 10 safety features, plus overheat protection and safe-locking lid."
"{'Brand': 'Instant Pot', 'Material': 'Stainless steel, Plastic', 'Color': 'Stainless Steel/Black', 'Capacity': '3 Quarts', 'Item Dimensions LxWxH': '11.42 x 10.04 x 11.22 inches', 'Item Weight': '3.99 Kilograms', 'Voltage': '110 Volts', 'Control Method': 'Touch', 'Operation Mode': 'Automatic', 'Is Dishwasher Safe': 'Yes'}","Instant Pot Duo Nova 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Saute, Yogurt Maker, 3 Quart, 14 One-Touch Programs, Best For Beginners","Best for beginners: An upgrade from the all-time bestseller Instant Pot Duo series, the Duo Nova combines 7 appliances in 1: Pressure cooker, slow cooker, rice cooker, steamer, saute pan, food warmer, and yogurt maker.  This 3Qt Mini model is compact and ultra-convenient, perfect for cooking for up to 3 people or for making rice, vegetables, or side dishes. Healthy & consistently delicious: Duo Nova is powered by a sophisticated microprocessor that monitors and adjusts pressure, temperature, time, and heat to cook food up to 70% faster than other methods and deliver consistent, delicious results every time. Smart lid: The new easy seal lid gives you 1 less thing to worry about because it automatically seals your Instant Pot.  Steam release is also a breeze with the fast, safe push of the quick release button.  And it even comes with a bonus sealing ring. Worry-free cooking: 10 plus safety features with UL certification let you set it and forget it.  Youre free to do other things while the Duo Nova cooks your dinner safely and quickly, with minimal mess and easy clean up.  The Duo Novas food-grade stainless steel 304 (18/8) cooking pot is dishwasher-safe and durable, with no chemical coating. Clear, simple controls: Elegant blue LCD intuitively indicates the cooking process of the multicooker.  Convenient 1-touch control of 13 programs can be customized to remember the way you like to cook. Plenty of recipes: The free Instant Pot recipes app on iOS and Android devices has 1000 plus recipes to get you started on your culinary adventure.  Join the millions of other Instant Pot users who share support, guidance, and the joy of cooking in the many Instant Pot online communities.","The Instant Pot Duo Nova 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice Cooker, Steamer, Saute is the perfect addition to your kitchen. With a sleek stainless steel finish and a powerful microprocessor that monitors and adjusts pressure, temperature, time, and heat to cook food up to 70% faster than other methods. The 3Qt Mini model is compact and ultra-convenient for cooking for up to 3 people or for making rice, vegetables, or side dishes."
"{'Occupancy': 'Seven-or-more-person', 'Design': 'Camping Tent', 'Installation Type': 'Easy Setup', 'Brand': 'Coleman', 'Size': '8-Person', 'Special Feature': 'Rainfly', 'Seasons': '3 Season', 'Recommended Uses For Product': 'Camping & Hiking', 'Item Weight': '22.3 Pounds', 'Material': 'Taffeta'}",Coleman Camping Tent | 8 Person Montana Cabin Tent with Hinged Door,"Weatherproof: Welded corners and inverted seams keep water from getting in; Included rainfly offers extra weather protection.  Strong frame is tested to withstand 35+ MPH winds. Hinged door: Easily opens and closes and includes an extended awning. Storage pockets: Keep small gear organized and off the floor. Built to last: Double-thick fabric stands up to the elements season after season.  Snag-free, continuous pole sleeves for easy setup.","The Coleman Camping Tent is a great choice for camping and hiking trips. It can accommodate up to eight people and is made with a strong frame that can withstand 35+ MPH winds. The hinged door makes it easy to get in and out, and the included rainfly offers extra weather protection. The storage pockets are a great place to keep small gear organized and off the floor. The Coleman Camping Tent is built to last with double-thick fabric that stands up to the elements season after season."
"{'Brand': 'HBTower', 'Color': 'Black', 'Material': 'Polypropylene, Iron', 'Item Weight': '5.2 Kilograms', 'Item Dimensions LxWxH': '44 x 21.26 x 2.76 inches'}","HBTower 3 Step Ladder, Folding Step Stool with Wide Anti-Slip Pedal, 500lbs Sturdy Steel Ladder, Convenient Handgrip, Lightweight, Portable Steel Step Stool, Black","2021 UPGRADE STEP LADDEROpen: 20. 1"" x 26. 8"" x 40. 9"", Folded: 44. 5"" X 20. 1"" X 1. 6"", Net Weight: 11. 5 pounds, Maximum Load: 500 pounds.  HBTower Safety Folding 3 Step Steel Ladder is made for you!. PORTABLE AND SPACE-SAVING: This Folding Step Stools Comes fully assembled!Lock and open system for easily open and fold.  It folded to just 1. 6"" D for storage and transportation.  Easy to carry for using indoor or outdoor. SECURITY AND STABILITYHigh-grade steel frame is constructed with strength and reliability.  Metal safe buckle automatically locked in place when you use the step ladder.  The back cross brace structure reinforce the basic support which will make you feel more safe climbing up the step ladder. NON-SLIP DESIGN: The 3 step ladder has non-slip rubber handgrip making the stool easy to climb and carry.  Wide pedals with non-slip rubber pattern offer heel-to-toe foot support.  Big rubber feet fully touch the groud to stays firmly and prevent floors from scratches.  (NOTE: Improper use of rubber feet will cause the step ladder to shake left and right.  Please make sure that the rubber feet are in full contact with the ground. ). HASSLE FREE WARRANTY: You can get 2 years warranty, 100% money back guarantee, and 24-hours friendly customer service.  Any problem please contact us without hesitation.","The HBTower 3 Step Ladder is perfect for anyone who needs a little extra height. The ladder is made of high-quality materials and is built to last. The non-slip design makes it safe to use, and the wide pedals provide heel-to-toe foot support. The ladder comes with a 2-year warranty and 100% money-back guarantee."
"{'Brand': 'Little Giant Ladders', 'Color': 'Gray', 'Material': 'Aluminum', 'Item Weight': '24 Pounds', 'Item Dimensions LxWxH': '44 x 22 x 5.5 inches'}","Little Giant Ladder Systems 10310BA Safety Step Stepladder with Handrail, 3-Step",Three-step safety ladder. Wide steps provide a secure footing. Integrated work tray includes two sturdy hooks.,"The Little Giant Ladder Systems 10310BA Safety Step Stepladder with Handrail is perfect for any household or professional task. The wide steps provide a secure footing, while the integrated work tray includes two sturdy hooks. The ladder is made of durable aluminum and has a maximum weight capacity of 250 pounds."
"{'Color': 'Blue-Purple-Green', 'Brand': 'Five Star', 'Ruling Type': 'College Ruled'}","Five Star Spiral Notebooks, 3 Subject, College Ruled Paper, 150 Sheets, 11 x 8-1/2"", Green, Purple, Blue, 3 Pack (38820)","LASTS ALL YEAR.  GUARANTEED!. Fights ink bleed.  3 subject notebook has 150 double-sided, college ruled sheets. Two 2-pocket dividers hold 11"" x 8 1/2"" sheets.  Tough pockets help prevent tears.  Water resistant covers. Neat Sheet perforated sheets make it easy to tear out assignments.  Spiral Lock wire binding prevents coil snags on your clothes or in your backpack. Made with SFI certified paper.  Recyclable - remove reinforcement tape on pocket and recycle the rest. Sheets measure 11"" x 8 1/2"" when torn out.  Overall notebook size is 11"" x 9 7/8"".  3 pack includes: Electric Green, Royal Purple and Cobalt.","The Five Star Spiral Notebooks are perfect for back to school, with their bright colors and durable design. These notebooks have 150 double-sided, college ruled sheets, and come with two 2-pocket dividers to hold 11"" x 8 1/2"" sheets. The tough pockets help prevent tears, and the water resistant covers make them perfect for taking on the go. The Neat Sheet perforated sheets make it easy to tear out assignments, and the Spiral Lock wire binding prevents coil snags on your clothes or in your backpack. Made with SFI certified paper, these notebooks are recyclable - remove reinforcement tape on pocket and recycle the rest."
"{'Color': 'White', 'Material': 'Plastic', 'Brand': 'Wilton', 'Item Dimensions LxWxH': '16.2 x 15.5 x 7.2 inches', 'Finish Type': 'White'}","Wilton Pillar Style 3-Tier Cupcake, Dessert, and Cake Stand","Showcase cakes, cupcakes, cookies, pastries, and hors d'oeuvers on this modern style display stand. This all white, 3 tiered birthday cake stand is easily assembled and stores away conveniently. Dessert stand measures 21. 5 inches tall, cake plates hold 10 inch, 12 inch and 14 inch wedding cakes. Tiered tray decor comes with sleek fluted columns and balanced plates for a stand out cake display.","This modern style cake stand will help you showcase your cakes, cupcakes, cookies, pastries and hors d'oeuvers on a pedestal for an elegant and classy presentation. This three tiered cake stand is easily assembled and stores away conveniently. It's all white to match any decor and measures 21. 5 inches tall. The cake plates hold 10 inch, 12 inch and 14 inch cakes. Tiered tray decor comes with sleek fluted columns and balanced plates for a stand out display of your baked goods."
"{'Color': 'Yellow', 'Material': 'Acrylic', 'Brand': 'YestBuy', 'Shape': 'Square', 'Maximum Weight Recommendation': '12 Pounds'}","YestBuy 3 Tier Clear Square Cupcake Stand - Premium Cupcake Holder - Acrylic Cupcake Tower Display - Cady Bar Party DÃ©cor + LED Light String - Ideal for Weddings, Birthday Parties (Yellow Li)","WHAT YOU NEED Are you on the search for a special and exquisite way of displaying cupcakes? From now on, any wedding, anniversary or birthday party is going to be more fun with the European stylish cupcakes stand that will create an amazing display for your dessert. PREMIUM DESIGNOur cupcake stand Made of 100% high quality acrylic panels.  You can remove any of the superior plates and reassemble them freely.  Each pastry rack is made with premium 4 mm thick acrylic, being very durable and resistant. IMPRESSIVE DETAILS By using Acrylic Rod with Screws instead of Tube to make this cupcake stand straight and stable, The cupcakes stand is extra large and can hold up to 28 cakes of 2. 5 diameter or the equivalent of 12 lb.  of food. APPLICATION OCCASION 100% transparent acrylic to make this europe stylish cake stand,ideally for various events such as wedding,engagement,birthday,party,baby shower,Christmas etc. WORRY-FREE CUSTOMER SERVICE: We provide 30-days free return and replacement service, if you have any problems, please contact us in time, we will promptly help you solve any questions.","The YestBuy 3 Tier Clear Square Cupcake Stand is a clear acrylic cupcake holder that is perfect for displaying cupcakes at weddings, anniversary parties, birthday parties, or any other special event. This cupcake stand features three tiers of clear acrylic plates that can hold up to 28 cupcakes, making it a great way to display a large number of cupcakes. The YestBuy 3 Tier Clear Square Cupcake Stand is made of 100% high quality acrylic and is very durable and stable. The cupcake stand is also easy to assemble and disassemble, making it easy to set up and take down."
"{'Color': 'Dark Brown', 'Material': 'Pine', 'Brand': 'GEEBOBO', 'Finish Type': 'Gold', 'Assembly Required': 'Yes'}","GEEBOBO 3 Tier Plant Stand, Tall Wood Plant Shelf Holder for Indoor Plants, Outdoor Garden Plant Display Rack Flower Pot Stand for Corner Living Room Balcony Garden Patio, Dark Brown","Efficient Corner Use: Raised your lively plants in an higher place and settled it in your corner, made it attractive and eye-catching in your home.  Plant stand 3 tier is suitable for all kinds of small spaces, placed in your bedroom, living room, corridor, sofa corner, hallway, garden, patios, and turns your boring small space into a vibrant and elegant scenery.  It's lightweight and movable for indoor and outdoor with wheels. 3 Tier High Low Flower Stand: Size: 13. 3""(L) X11. 8""(W) X 22. 2""(H).  3 layers of display space for your lovely plants.  Each plant can stand in sunshine, absorb the balanced nutrients and sunlight in a comfortable environment.  Decorative plants shelf with aesthetic design add a new embellishments to your home or garden to enjoy refined life.  Each tray in diameter 6. 3"" for small size flower Pots. 100% Wood Plant Holder: Made of sturdy Pine Wood which has a smooth surface and a stable triangular base.  Undergoing 300c high temperature carbonization ensures the retaining the texture,no fade, shrink, warp, crack.  With the function of compression resistance,waterproof and anti-corrosion, which makes its lifetime longer.  No paint and more environment friendly.  Meanwhile rosin can relieve pressure and improve sleep quality. Easy to install & Wheels: Small flower stand can be easily assembled.  We prepared clear and simple instructions and installation tools in our package.  Plant rack comes with detachable wheels, you can use flower shelf with or without wheels. 100% Satisfaction Guaranteed: If you receive damaged plant stand or have any questions about quality and instructions during use, please feel free to contact us.  We will help you out.","The GEEBOBO 3 Tier Plant Stand is made of sturdy pine wood and features a smooth surface and a stable triangular base. It is 100% wood and has a smooth surface with no paint for an environmentally friendly design. This plant stand is easy to install with clear and simple instructions, and comes with detachable wheels for easy movement. It is perfect for small spaces and makes a great addition to any home or garden."
"{'Product Dimensions': '18.5""D x 9.8""W x 26.1""H', 'Brand': 'Deco Brothers', 'Color': 'Silver', 'Material': 'Alloy Steel', 'Item Weight': '5 Pounds'}","DecoBros 3-Tier Metal Utility Rolling Cart, Silver","Dimension: 26. 1""H x 9. 8""W x 18. 5""D. Easily rolling around by four sturdy casters. Multiple Use Purpose: File Cart, Laundry Cart.","The DecoBros rolling cart is made of high-quality materials and is designed for durability. It is perfect for use in the office, laundry room, or any other room in the house. The cart is equipped with four sturdy casters that make it easy to move around. The top shelf is removable, making it easy to customize the cart to your needs. The DecoBros rolling cart is a great way to keep your home organized and tidy."
"{'Product Dimensions': '17.91""D x 13.98""W x 31.1""H', 'Brand': 'DESIGNA', 'Color': 'White', 'Material': 'Metal', 'Item Weight': '15.26 Pounds'}","DESIGNA 3-Tier Rolling Cart, Utility Cart with Handle, Extra 3 Storage Accessories, Removable Pegboard, Easy Assembly Craft Carts for Kitchen, Bathroom, Office, Metal, White","Multi-Purpose Use Art Cart This easy-to-assemble craft cart comes with extra 3 storage accessories, perfect for your pantry, kitchen, garage, laundry supplies, kid's toy, medical cart or any other multitude of possibilities, etc. Spacious Storage Capacity 1 large baskets(16x 11-15/16 x 3 3/8 inches), creating extra storage to save floor space, optimize the space utilization.  2 The extra 3 storage accessories help organize your small objects.  3 The 3 3/8"" height side wall can keep contents on the shelf itself stably.  Keep your places well-organized. Sturdy and Durable 1The rolling kitchen cart is made of 100% all steel, the maximum loading capacity of each shelf is over 70 lbsWhat we mark 20 lbs is enough for most situation).  2Surface is finished with high temperature paint, non-toxic harmless, no smell, allow you to have this rolling cart in your laundry room or other wet places for years. Great Maneuverability 1 The light weight cart(15 lbs), equipped with 4 wheels (2 lockable) and handle design make it easy & convenient to keep the utility cart roll it around to anywhere you need or place in a permanent place.  2 The carts with wheels stops exerting yourself carrying tools, equipment & supplies.  Smarten up by wheeling your things. Customer Service We have a large number of loyal customers, but hope to get your unique approval.  Your satisfaction is our first priority Weve got you covered anytime you have any issue regarding our product quality or any problem during use.  Easy and fast replacement is guaranteed.","This 3-Tier Rolling Art Cart is perfect for any project requiring storage. The cart comes with 2 large baskets, a third shelf and 3 extra storage accessories. The height of the side wall prevents contents from falling off the shelf. A handle on the top makes it easy to transport, while a removable pegboa provides a place to hang your project when it's done!"
"{'Size': '12 inch Plates', 'Material': 'Ceramic', 'Color': 'White', 'Brand': 'Imperial', 'Occasion': 'Wedding'}","Porcelain 3 Tier Serving Tray - Rectangular Tier Serving Tray - Party Dessert Tiered Tray, 12-Inch Plate Set - White Tiered Cake Serving Stand- Dishwasher Safe Porcelain Appetizer 3-Tier Stand","DURABLE - Sturdy metal stand helps secure Porcelain food trays at parties.  No need to worry about unnecessary accidents!. PERSONALIZED TRAY - All cakes, cupcakes, fruit, sushi, or favorite foods are displayed elegantly. COLLAPSIBLE - Easy to assemble with included instructions and platter sizes makes for easy storage. OPTIMAL DESSERT DISPLAY - The porcelain and microwave-safe tiered serving stand measures 12"" x 13"". EASY MAINTENANCE - Rectangular porcelain dinnerware trays are dishwasher and microwave safe.","The Porcelain 3 Tier Serving Tray is perfect for any special occasion! This elegant tray features three rectangular porcelain trays, perfect for displaying your favorite cakes, cupcakes, fruit, sushi, or other favorite foods. The sturdy metal stand helps secure the trays, and the tray is easy to assemble with the included instructions. The porcelain trays are also dishwasher and microwave safe for easy maintenance."
"{'Brand': 'BAMFOX', 'Color': 'Mocha', 'Frame Material': 'Metal', 'Style': 'Modern', 'Material': 'Bamboo'}","BAMFOX 3-Tier Shoe Rack,Bamboo Stackable Shoe shelf Storage Organizer For Closet, Hallway, and Entryway","100% HIGH-QUALITY BAMBOOWe choose bamboo wood grown in a natural alpine environment.  The texture is hard, the structure is firm, and the service life is long.  After high temperature carbonization, the product is waterproof and not easy to crack and deform.  Moreover, bamboo is a renewable resource and is naturally environmentally friendly. STACKABLE DESIGNThe perfect tenon joint design allows no tools to be stacked.  The shoe rack is connected by embedding a groove between the upper and lower frames.  Up to 2 shelves can be stacked.  Create multiple units to house all your shoes or clothing. UPGRADED LAYER HEIGHTThis new shoe rack has increased layer spacing, shoes are placed more spaciously, and each layer has a different layer height, which can accommodate high heels, short boots, and sports shoes.  The heightened bottom design adds more possibilities.  You can place low-top shoes such as slippers and children's shoes on the bottom. STURDY AND GOOD QUALITYStrong load-bearing, stable and durable, high-quality bamboo slats can support up to 44 pounds.  Evenly distributed on each layer.  Each shelf can store 3-4 pairs of shoes.  You can also display all cute plants according to your wishes.  Ideal for your front porch, balcony or interior decoration and planting. AFTER-SALES PROBLEMS: If you encounter problems during installation and use, please feel free to contact us, we can provide professional guidance at any time.  If there are quality problems after receiving the goods, we can accept the return and exchange unconditionally after we confirm.","Do you need a shoe rack that can hold all the shoes and still be stackable? This 3-Tier Shoe Rack is perfect for your closet, entryway, or hallway. Made of 100% high-quality bamboo wood, this rack is hard, firm, and long lasting.  After high temperature carbonization, the product is waterproof and not easy to crack and deform.  Moreover, bamboo is a renewable resource and is naturally environmentally friendly."
"{'Color': 'Black', 'Material': 'Porcelain', 'Brand': 'YHOSSEUN', 'Finish Type': 'Polished', 'Shape': 'Oval'}",YHOSSEUN 3 Tier Serving Stand Tiered Oval Bowl Stand with 3 Oval Porcelain Serving Bowl Set with Collapsible Thicker Sturdier Metal Rack (Black),"Collapsible Thicker Sturdier Frame: Selected thicker metal rack, which can make this 3 tier serving stand the fine texture, clear texture, durable, healthy, and hygienic. Detail Design: The edges of the serving bowl are made of irregular lines, round and smooth, without burrs, and protect your hands.  The anti-slip design at the bottom of the bowl has been polished smooth and does not hurt the countertop. Elegant Appearance: The texture of the serving bowl gives nostalgic, retro, and elegant, creating a quiet and beautiful mood; an oval bowl with both value and practicality, ingenious design, and elegant style. 3 Tier Design: The serving stand Ingeniously uses the three-tier structure to save space and make the food more layered.  This tiered serving stand is perfectly designed to present your delicious homemade cupcakes, desserts, appetizers as well as fruits, etc. Easy to Clean: These durable porcelain serving bowls are easy to clean and are dishwasher, microwave, and freezer safe.  This serving stand is a great choice for special festivals, which is perfect for birthdays, weddings, housewarmings, hostess, and many more.","The YHOSSEUN 3 Tier Serving Stand is perfect for displaying your homemade cupcakes, desserts, appetizers, and fruits. This stand is made of durable porcelain and is easy to clean. The stand is also dishwasher, microwave, and freezer safe. With its elegant appearance, this stand is perfect for special occasions."
"{'Frame Material': 'Metal, Glass', 'Brand': 'AoneFun', 'Finish Type': 'Silver, Gold, Matte'}","2-Pk, 3.5"" x 5"" Silver Photo Frames, Matte Metal, 3.5"" by 5"" Small Picture Frames, Small Photo Frames Brushed Metal frame with Glass Front, Traditional Fancy Design, Bulk Set Decorative Picture Frames","Constructed of aluminum with glass front.  Features black velvet backing and fold-out stand.  Frame depth: 38"". Can be used in both horizontal and vertical positions. Excellent as school photo frames. The perfect photo picture frame set.","Customize these silver photo frames with a small picture of your family members or yourself to showcase your favorite memories. The frame depth is 38"", and the photo can be used in both horizontal and vertical positions. This photo frame set is also perfect for school photos, as it features an included stand that can hold the photo up at any angle. Great for all kinds of occasions!"
"{'Connector Type': 'Auxiliary', 'Cable Type': 'AUX Cable', 'Compatible Devices': 'Laptop, Tablet, Speaker', 'Color': 'Black', 'Brand': 'Syncwire'}","Syncwire 3.5mm Nylon Braided Aux Cable (3.3ft/1m,Hi-Fi Sound), Audio Auxiliary Input Adapter Male to Male AUX Cord for Headphones, Car, Home Stereos, Speaker, iPhone, iPad, iPod, Echo & More â Black","Universal Compatibility: Perfectly compatible with any devices with a 3.  5mm aux port.  Such as Apple iPhone, iPod, iPad, Headphones, Hi-Fi, Car Stereos, Tablet, Laptop, Smartphones, MP3 Player, Speaker and any other audio-playing devices.  (ATTENTION: Incompatible with Life proof Cases And Otter Box cases). Unparalleled Sound Quality: Polished 24K gold-plated connectors ensure reliability and eliminate signal loss and noise possible, offer clear and stereo sound to your devices. Ultra Durable And Tangle-Free: With an 15000+ ultra-durable bend lifespan several times longer than original audio cables.  You can wind it without having to worry about knots or kinks. Easy Carrying And Storage: Double shielding significantly enhances protection against interference, and with the specially designed organizer, no messy or tangled cable any more. What You Get - Sync wire 3. 3 ft.","The Syncwire 3.5mm Nylon Braided Aux Cable is a high-quality aux cable that is compatible with any device with a 3.5mm aux port. This aux cable features polished 24K gold-plated connectors that ensure reliability and eliminate signal loss and noise possible, offering clear and stereo sound to your devices. The Syncwire 3.5mm Nylon Braided Aux Cable is also ultra-durable and tangle-free, with an 15000+ bend lifespan several times longer than original audio cables. This aux cable is also easy to carry and store, with a double-shielded design that significantly enhances protection against interference and a specially designed organizer that prevents messy or tangled cables."
"{'Connector Type': 'RCA, Auxiliary', 'Cable Type': 'AUX', 'Compatible Devices': 'Tablet, Smartphone, Music Player', 'Color': 'Black', 'Brand': 'Amazon Basics'}",Amazon Basics 3.5mm to 2-Male RCA Adapter Audio Stereo Cable - 4 Feet,"IN THE BOX: (1) 4 foot 3. 5mm to 2-Male RCA adapter cables. EASILY CONNECT DEVICES: Adapter cable connects a smartphone, tablet, or MP3 player to a speaker, stereo receiver, or other RCA-enabled device. 3. 5MM TO 2X RCA CONNECTORS: 3. 5mm Male connector on one end and two Male RCA connectors on the other end. STANDARD AUX JACK: Works with left and right audio input and devices with a standard 3. 5mm auxiliary jack (typically used for headphones or ear buds). CLEAN & CLEAR SIGNAL: Dual-shielding, polished metal connectors and a corrosion-resistant gold-plated 3. 5mm connector for pure, clear audio and minimal signal loss.","The Amazon Basics 3.5mm to 2-Male RCA Adapter Audio Stereo Cable - 4 Feet is the perfect way to connect your smartphone, tablet, or MP3 player to a speaker, stereo receiver, or other RCA-enabled device. This adapter cable features 3.5mm Male connector on one end and two Male RCA connectors on the other end, allowing you to easily connect your devices. The dual-shielding, polished metal connectors and corrosion-resistant gold-plated 3.5mm connector provide a clean and clear signal with minimal signal loss."
